client_id,samples,positives,negatives,positive_ratio,negative_ratio,label_entropy
320,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
321,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
322,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
323,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
324,11,0,11,0.0,1.0,0.0
325,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
326,11,0,11,0.0,1.0,0.0
327,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
328,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
329,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
330,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
331,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
332,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
333,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
334,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
335,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
336,11,0,11,0.0,1.0,0.0
337,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
338,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
339,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
340,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
341,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
342,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
343,11,4,7,0.36363636363636365,0.6363636363636364,0.9456603046006401
344,11,4,7,0.36363636363636365,0.6363636363636364,0.9456603046006401
345,11,0,11,0.0,1.0,0.0
346,11,0,11,0.0,1.0,0.0
347,11,0,11,0.0,1.0,0.0
348,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
349,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
350,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
351,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
352,11,0,11,0.0,1.0,0.0
353,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
354,11,4,7,0.36363636363636365,0.6363636363636364,0.9456603046006401
355,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
356,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
357,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
358,11,4,7,0.36363636363636365,0.6363636363636364,0.9456603046006401
359,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
360,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
361,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
362,11,5,6,0.45454545454545453,0.5454545454545454,0.9940302114769565
363,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
364,11,0,11,0.0,1.0,0.0
365,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
366,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
367,11,4,7,0.36363636363636365,0.6363636363636364,0.9456603046006401
368,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
369,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
370,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
371,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
372,11,4,7,0.36363636363636365,0.6363636363636364,0.9456603046006401
373,11,0,11,0.0,1.0,0.0
374,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
375,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
376,11,0,11,0.0,1.0,0.0
377,11,0,11,0.0,1.0,0.0
378,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
379,11,0,11,0.0,1.0,0.0
380,11,4,7,0.36363636363636365,0.6363636363636364,0.9456603046006401
381,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
382,11,0,11,0.0,1.0,0.0
