strategy,scaling_point,run,n_evaluated_checkpoints,first_evaluated_round,final_evaluated_round,best_test_ap,best_test_ap_round,ap_fraction,ap_fraction_threshold,first_round_reaching_fraction,test_ap_at_first_fraction_round,rounds_from_fraction_to_end,late_window_start_round,late_window_end_round,late_window_expected_rounds,late_window_observed_rounds,late_window_complete,late_window_missing_rounds,late_mean_test_ap,late_test_ap_slope_per_round,late_fitted_ap_change,late_test_ap_std,final_round_test_ap
SCAFFOLD,128,1,80,1,80,0.38992053167973306,80,0.99,0.38602132636293573,61,0.38620709635957384,19,70,80,11,11,True,,0.38909604103778206,0.00017134508018557237,0.0017134508018557537,0.0005686790103775833,0.38992053167973306
SCAFFOLD,128,2,80,1,80,0.38869629607807377,80,0.99,0.38480933311729304,60,0.3849936826322011,20,70,80,11,11,True,,0.3879013209837526,0.00016593852503899562,0.0016593852503899442,0.0005507423636664731,0.38869629607807377
SCAFFOLD,128,3,80,1,80,0.3923133725498803,80,0.99,0.3883902388243815,55,0.38856768828767607,25,70,80,11,11,True,,0.39178021902074056,0.00010952723110432252,0.0010952723110432272,0.0003637356050841093,0.3923133725498803
SCAFFOLD,128,4,80,1,80,0.38155718330860866,80,0.99,0.37774161147552254,69,0.3779375222085213,11,70,80,11,11,True,,0.38000684400757834,0.0003222821542091088,0.003222821542091081,0.001069453004633493,0.38155718330860866
SCAFFOLD,128,5,80,1,80,0.37711878652305636,80,0.99,0.3733475986578258,64,0.3734515405179848,16,70,80,11,11,True,,0.3760434589294943,0.00022196854593842913,0.002219685459384335,0.0007364684716592592,0.37711878652305636
SCAFFOLD,256,1,80,1,80,0.38414329641969,80,0.99,0.38030186345549305,62,0.38055158845946874,18,70,80,11,11,True,,0.38330069269724676,0.00017765309934330645,0.0017765309934330564,0.0005898366270997818,0.38414329641969
SCAFFOLD,256,2,80,1,80,0.394193222070198,80,0.99,0.39025128984949603,63,0.3904675544862573,17,70,80,11,11,True,,0.3932421456504651,0.00019601635600504427,0.001960163560050465,0.0006506539762320559,0.394193222070198
SCAFFOLD,256,3,80,1,80,0.38110965720627876,80,0.99,0.37729856063421596,65,0.3775176561266769,15,70,80,11,11,True,,0.3799784004443321,0.00022878210354642918,0.0022878210354643214,0.0007589711653815998,0.38110965720627876
SCAFFOLD,256,4,80,1,80,0.38296040566972445,80,0.99,0.3791308016130272,67,0.37946466753631625,13,70,80,11,11,True,,0.3817057635578802,0.0002597498890969499,0.0025974988909694963,0.0008617294141486572,0.38296040566972445
SCAFFOLD,256,5,80,1,80,0.39415489110709945,80,0.99,0.39021334219602843,64,0.39041181690595317,16,70,80,11,11,True,,0.3931045890437472,0.00021630801895522255,0.0021630801895522467,0.0007179724514652761,0.39415489110709945
SCAFFOLD,512,1,80,1,80,0.38805535037126865,80,0.99,0.38417479686755596,66,0.38440200250600665,14,70,80,11,11,True,,0.3868578436157337,0.0002460404993220431,0.002460404993220422,0.0008165739084876387,0.38805535037126865
SCAFFOLD,512,2,80,1,80,0.3920042922940199,80,0.99,0.3880842493710797,58,0.388224928173539,22,70,80,11,11,True,,0.39131579646268566,0.0001414837204241998,0.0014148372042420143,0.0004694057219587638,0.3920042922940199
